id,description,difficulty,title
1,"Find two numbers...",Easy,"Two Sum"
2,"Valid parantheses or Not",Easy,"Valid parantheses"
3,"Given an array nums with n objects colored red, white, or blue, sort them in-place so that objects of the same color are adjacent, with the colors in the order red, white, and blue.",Easy,"Sort Colors"
4,"You are given the heads of two sorted linked lists list1 and list2.

Merge the two lists into one sorted list. The list should be made by splicing together the nodes of the first two lists.

Return the head of the merged linked list.",Easy,"Merge Two Sorted Lists"
6,"Given the head of a singly linked list, reverse the list, and return the reversed list.",Easy,"Reverse Linked List"
7,"Given the head of a singly linked list, return the middle node of the linked list.If there are two middle nodes, return the second middle node.",Easy,"Middle of the Linked List"
